host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
10.0.10.1;_gateway;PTR;tcp;22;ssh;open;OpenSSH;protocol 2.0;syn-ack;9.4;10;cpe:/a:openbsd:openssh:9.4
10.0.10.1;_gateway;PTR;tcp;53;domain;open;;generic dns response: NOTIMP;syn-ack;;10;
10.0.10.1;_gateway;PTR;tcp;80;http;open;nginx;;syn-ack;;10;cpe:/a:igor_sysoev:nginx
10.0.10.123;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.123;;;tcp;443;https;open;;;syn-ack;;10;
10.0.10.124;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.125;;;tcp;80;http;open;Apache httpd;(Ubuntu);syn-ack;2.4.52;10;cpe:/a:apache:http_server:2.4.52
10.0.10.125;;;tcp;443;https;closed;;;reset;;3;
10.0.10.127;;;tcp;53;domain;closed;;;reset;;3;
10.0.10.128;;;tcp;80;http;filtered;;;no-response;;3;
10.0.10.131;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.133;;;tcp;443;https;open;;;syn-ack;;10;
10.0.10.134;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.134;;;tcp;443;https;open;;;syn-ack;;10;
10.0.10.135;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.14;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.15;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
10.0.10.16;;;tcp;22;ssh;open;OpenSSH;"Ubuntu Linux; protocol 2.0";syn-ack;8.9p1 Ubuntu 3ubuntu0.10;10;cpe:/o:linux:linux_kernel
